Inches,Ram_GB,Company_Freq,Company_LogFreq,TypeName_Category_Budget,TypeName_Category_Performance,TypeName_Category_Premium,PPI,Cpu_Entry-Level,Cpu_High-End,Cpu_Mid-Range,Storage_Size_GB,Storage_Category_HDD-Based,Storage_Category_SSD-Based,Gpu_group_Dedicated,Gpu_group_Integrated,OpSys_Category_Linux/Chrome,OpSys_Category_MacOS,OpSys_Category_Others,OpSys_Category_Windows,Price_php,Weight_Category,Cpu_Score,Gpu_Score,Storage_Impact,Performance_Index,Performance_to_Weight,Display_Quality
13.3,-0.07519506268436271,21,-2.319482999269945,False,False,True,1.863992590469502,True,False,False,-1.0048748502406828,False,True,False,True,False,True,False,False,83012.41719,1.0,3000,2000,-2.5121871256017068,24997.33742274903,12498.668711374516,24.79110145324438
13.3,-0.07519506268436271,21,-2.319482999269945,False,False,True,-0.43981293968283586,True,False,False,-1.0048748502406828,False,True,False,True,False,True,False,False,55701.82827,1.0,3000,2000,-2.5121871256017068,24997.33742274903,12498.668711374516,-5.849512097781718
15.6,-0.07519506268436271,274,0.4704951467693265,True,False,False,-0.12583260352905437,True,False,False,-0.7383875721754812,False,True,False,True,False,False,True,False,35629.2425,2.0,3000,2000,-1.845968930438703,24998.003640944193,8332.667880314732,-1.962988615053248
15.4,1.4987674542268743,21,-2.319482999269945,False,False,True,1.7143948287712985,False,False,True,-0.20541301604507806,False,True,True,False,False,True,False,False,157230.2981,2.0,9000,15000,-0.5135325401126951,120002.48400236835,40000.82800078945,26.401680363077997
13.3,-0.07519506268436271,21,-2.319482999269945,False,False,True,1.863992590469502,True,False,False,-0.7383875721754812,False,True,False,True,False,True,False,False,111758.09,1.0,3000,2000,-1.845968930438703,24998.003640944193,12499.001820472096,24.79110145324438
15.6,-0.8621763211399812,103,-0.6036184598685892,True,False,False,-1.071373081019653,True,False,False,-0.23039619836369069,True,False,False,True,False,False,False,True,24785.56,3.0,3000,2000,-0.23039619836369069,24998.045251159358,6249.511312789839,-16.713420063906586
15.4,1.4987674542268743,21,-2.319482999269945,False,False,True,1.7143948287712985,False,False,True,-0.7383875721754812,False,True,False,True,False,True,False,False,132600.8871,3.0,9000,2000,-1.845968930438703,55001.15156597802,13750.287891494505,26.401680363077997
13.3,-0.07519506268436271,21,-2.319482999269945,False,False,True,-0.43981293968283586,True,False,False,-0.7383875721754812,False,True,False,True,False,True,False,False,71797.57093,1.0,3000,2000,-1.845968930438703,24998.003640944193,12499.001820472096,-5.849512097781718
14.0,1.4987674542268743,158,-0.13469126891243635,False,False,True,0.24856922707416992,False,False,True,-0.20541301604507806,False,True,True,False,False,False,False,True,92636.0305,1.0,9000,15000,-0.5135325401126951,120002.48400236835,60001.242001184175,3.479969179038379
14.0,-0.07519506268436271,103,-0.6036184598685892,False,False,True,0.24856922707416992,True,False,False,-0.7383875721754812,False,True,False,True,False,False,False,True,47712.203,2.0,3000,2000,-1.845968930438703,24998.003640944193,8332.667880314732,3.479969179038379
15.6,-0.8621763211399812,274,0.4704951467693265,True,False,False,-1.071373081019653,True,False,False,-0.23039619836369069,True,False,False,True,False,False,True,False,24407.58021,2.0,3000,2000,-0.23039619836369069,24998.045251159358,8332.681750386453,-16.713420063906586
15.6,-0.8621763211399812,274,0.4704951467693265,True,False,False,-0.12583260352905437,True,False,False,-0.23039619836369069,True,False,False,True,False,False,True,False,21376.92586,2.0,3000,2000,-0.23039619836369069,24998.045251159358,8332.681750386453,-1.962988615053248
15.4,1.4987674542268743,21,-2.319482999269945,False,False,True,1.7143948287712985,False,False,True,-0.7383875721754812,False,True,True,False,False,True,False,False,151190.0571,2.0,9000,15000,-1.845968930438703,120001.15156597801,40000.38385532601,26.401680363077997
15.6,-0.8621763211399812,297,0.5592211110580945,True,False,False,-0.12583260352905437,True,False,False,-0.7383875721754812,False,True,False,True,False,False,False,True,30913.78971,3.0,3000,2000,-1.845968930438703,24996.42967842728,6249.10741960682,-1.962988615053248
12.0,-0.07519506268436271,21,-2.319482999269945,False,False,True,1.8508279874400608,True,False,False,-0.7383875721754812,False,True,False,True,False,True,False,False,78223.22736,1.0,3000,2000,-1.845968930438703,24998.003640944193,12499.001820472096,22.20993584928073
13.3,-0.07519506268436271,21,-2.319482999269945,False,False,True,1.863992590469502,True,False,False,-0.7383875721754812,False,True,False,True,False,True,False,False,94095.28035,1.0,3000,2000,-1.845968930438703,24998.003640944193,12499.001820472096,24.79110145324438
15.6,-0.07519506268436271,297,0.5592211110580945,True,False,False,-0.12583260352905437,False,False,True,-0.7383875721754812,False,True,False,True,False,False,False,True,46163.1055,3.0,9000,2000,-1.845968930438703,54998.0036409442,13749.50091023605,-1.962988615053248
15.4,1.4987674542268743,21,-2.319482999269945,False,False,True,1.7143948287712985,False,False,True,-0.20541301604507806,False,True,True,False,False,True,False,False,177092.8262,2.0,9000,15000,-0.5135325401126951,120002.48400236835,40000.82800078945,26.401680363077997
15.6,-0.07519506268436271,297,0.5592211110580945,True,False,False,-0.12583260352905437,True,False,False,0.8605360962157282,True,False,True,False,False,False,True,False,30919.9861,3.0,3000,15000,0.8605360962157282,90000.71014597084,22500.17753649271,-1.962988615053248
13.3,-0.07519506268436271,297,0.5592211110580945,False,False,True,0.44069648225214014,True,False,False,-1.0048748502406828,False,True,False,True,False,False,False,True,60662.6581,1.0,3000,2000,-2.5121871256017068,24997.33742274903,12498.668711374516,5.861263213953464
11.6,-1.2556669503677904,158,-0.13469126891243635,True,False,False,-0.2677608257480605,True,False,False,-1.204740308789584,False,True,False,True,False,False,False,True,11890.87241,1.0,3000,2000,-3.0118507719739602,24994.47681532729,12497.238407663644,-3.1060255786775013
15.6,-0.07519506268436271,297,0.5592211110580945,False,True,False,-0.12583260352905437,True,False,False,1.12702337428093,False,True,True,False,False,False,False,True,61901.9361,3.0,3000,15000,2.817558435702325,90002.66716831033,22500.666792077584,-1.962988615053248
15.6,-0.8621763211399812,274,0.4704951467693265,True,False,False,-1.071373081019653,True,False,False,-0.23039619836369069,True,False,False,True,False,False,True,False,15986.6862,2.0,3000,2000,-0.23039619836369069,24998.045251159358,8332.681750386453,-16.713420063906586
13.3,-0.07519506268436271,297,0.5592211110580945,False,False,True,0.44069648225214014,True,False,False,-0.7383875721754812,False,True,False,True,False,False,False,True,50748.4341,2.0,3000,2000,-1.845968930438703,24998.003640944193,8332.667880314732,5.861263213953464
15.6,-0.07519506268436271,274,0.4704951467693265,False,False,True,-0.12583260352905437,False,False,True,-0.7383875721754812,False,True,False,True,False,False,False,True,40834.2101,2.0,9000,2000,-1.845968930438703,54998.0036409442,18332.667880314733,-1.962988615053248
15.6,-0.8621763211399812,297,0.5592211110580945,True,False,False,-1.071373081019653,True,False,False,0.8605360962157282,True,False,False,True,False,False,False,True,25940.5671,3.0,3000,2000,0.8605360962157282,24999.13618345394,6249.784045863485,-16.713420063906586
13.3,-0.07519506268436271,21,-2.319482999269945,False,False,True,-0.43981293968283586,True,False,False,-1.0048748502406828,False,True,False,True,False,True,False,False,68098.3261,1.0,3000,2000,-2.5121871256017068,24997.33742274903,12498.668711374516,-5.849512097781718
15.6,-0.07519506268436271,297,0.5592211110580945,True,False,False,-0.12583260352905437,True,False,False,-0.7383875721754812,False,True,False,True,False,False,False,True,49571.12,3.0,3000,2000,-1.845968930438703,24998.003640944193,6249.500910236048,-1.962988615053248
15.6,-0.07519506268436271,297,0.5592211110580945,False,False,True,-0.12583260352905437,False,False,True,-0.20541301604507806,False,True,False,True,False,False,False,True,80429.1422,2.0,9000,2000,-0.5135325401126951,54999.33607733452,18333.112025778173,-1.962988615053248
17.3,-0.07519506268436271,274,0.4704951467693265,True,False,False,-0.4477532526748909,True,False,False,0.8605360962157282,True,False,True,False,False,False,False,True,55519.6544,3.0,3000,15000,0.8605360962157282,90000.71014597084,22500.17753649271,-7.746131271275613
15.6,-0.8621763211399812,3,-4.202587081953369,True,False,False,-0.12583260352905437,True,False,False,-1.1381184892732836,False,True,False,True,False,False,False,True,15180.53586,2.0,3000,2000,-2.845296223183209,24995.43035113454,8331.810117044846,-1.962988615053248
14.0,-1.2556669503677904,158,-0.13469126891243635,True,False,False,-0.8050330192724967,True,False,False,-1.204740308789584,False,True,False,True,False,False,False,True,12330.8161,2.0,3000,2000,-3.0118507719739602,24994.47681532729,8331.492271775764,-11.270462269814955
17.3,-0.8621763211399812,274,0.4704951467693265,True,False,False,-0.4477532526748909,True,False,False,-0.23039619836369069,True,False,False,True,False,False,False,True,27202.1521,4.0,3000,2000,-0.23039619836369069,24998.045251159358,4999.609050231871,-7.746131271275613
13.3,1.4987674542268743,297,0.5592211110580945,False,False,True,3.002393217958413,False,False,True,-0.20541301604507806,False,True,False,True,False,False,False,True,115810.5291,1.0,9000,2000,-0.5135325401126951,55002.48400236834,27501.24200118417,39.9318297988469
13.3,-0.07519506268436271,21,-2.319482999269945,False,False,True,-0.43981293968283586,True,False,False,-0.7383875721754812,False,True,False,True,False,True,False,False,61839.9722,1.0,3000,2000,-1.845968930438703,24998.003640944193,12499.001820472096,-5.849512097781718
14.0,-0.8621763211399812,297,0.5592211110580945,True,False,False,-0.8050330192724967,True,False,False,-1.1381184892732836,False,True,False,True,False,False,False,True,15429.0111,1.0,3000,2000,-2.845296223183209,24995.43035113454,12497.71517556727,-11.270462269814955
15.6,-0.8621763211399812,103,-0.6036184598685892,True,False,False,-1.071373081019653,True,False,False,0.8605360962157282,True,False,False,True,True,False,False,False,22740.7513,3.0,3000,2000,0.8605360962157282,24999.13618345394,6249.784045863485,-16.713420063906586
17.3,-0.07519506268436271,297,0.5592211110580945,True,False,False,-0.4477532526748909,True,False,False,1.12702337428093,False,True,False,True,False,False,False,True,60662.6581,4.0,3000,2000,2.817558435702325,25002.667168310334,5000.533433662067,-7.746131271275613
15.6,-0.8621763211399812,274,0.4704951467693265,True,False,False,-1.071373081019653,True,False,False,0.8605360962157282,True,False,False,True,False,False,False,True,30281.13829,2.0,3000,2000,0.8605360962157282,24999.13618345394,8333.045394484647,-16.713420063906586
15.6,-0.07519506268436271,274,0.4704951467693265,True,False,False,-0.12583260352905437,True,False,False,-0.7383875721754812,False,True,True,False,False,False,False,True,54466.2681,3.0,3000,15000,-1.845968930438703,89998.00364094418,22499.500910236045,-1.962988615053248
15.6,-0.8621763211399812,158,-0.13469126891243635,True,False,False,-0.12583260352905437,True,False,False,0.8605360962157282,True,False,False,True,True,False,False,False,24103.9571,2.0,3000,2000,0.8605360962157282,24999.13618345394,8333.045394484647,-1.962988615053248
15.6,1.4987674542268743,297,0.5592211110580945,False,True,False,-0.12583260352905437,False,False,True,1.3935106523461314,False,True,True,False,False,False,False,True,92883.8861,4.0,9000,15000,3.4837766308653286,120006.48131153932,24001.296262307864,-1.962988615053248
15.6,-0.07519506268436271,158,-0.13469126891243635,True,False,False,-1.071373081019653,True,False,False,0.8605360962157282,True,False,True,False,True,False,False,False,32406.50006,3.0,3000,15000,0.8605360962157282,90000.71014597084,22500.17753649271,-16.713420063906586
15.6,-0.8621763211399812,103,-0.6036184598685892,True,False,False,-0.12583260352905437,True,False,False,-0.7383875721754812,False,True,False,True,False,False,False,True,42259.3798,3.0,3000,2000,-1.845968930438703,24996.42967842728,6249.10741960682,-1.962988615053248
17.3,0.7117861957712558,297,0.5592211110580945,False,False,True,-0.4477532526748909,True,False,False,0.8605360962157282,True,False,True,False,False,False,False,True,61901.9361,4.0,3000,15000,0.8605360962157282,90002.28410848776,18000.456821697553,-7.746131271275613
